objective,explanation,lecture_id,include,category
Explore positive psychology theory and research,,,n,
Apply ideas for building health and wellbeing,,,n,
Apply ideas for building health and wellbeing 4,,,n,
Define epidemiology and describe how it is used in public health,,,n,
Explain the concepts of “sufficient” and “necessary” in causation,,,n,
"Describe the different criteria for establishing causation including temporal relationship, plausibility, consistency, strength, dose-response relationship, reversibility and study design",,,n,
Explain the concept of confounding and describe how to control for confounding in order to help establish causation 5,,,n,
Relate the structure and development of the brachial plexus to upper limb function Part,,Upper limb 1 - Introduction to the brachial plexus and clinical anatomy of the shoulder,y,Anatomy
Describe the concept of a dermatome and identify the dermatomes of the upper limb,,Upper limb 1 - Introduction to the brachial plexus and clinical anatomy of the shoulder,y,Anatomy
Describe the concept of a myotomes and identify the spinal cord segments responsible for movements of the upper limb,,Upper limb 1 - Introduction to the brachial plexus and clinical anatomy of the shoulder,y,Anatomy
Describe how spinal cord segments are distributed within the brachial plexus and its major terminal branches Part,,Upper limb 1 - Introduction to the brachial plexus and clinical anatomy of the shoulder,y,Anatomy
Link the shape of articular surfaces with the function of muscles acting on joints to explain the movements of the pectoral girdle and shoulder joint 6,,Upper limb 1 - Introduction to the brachial plexus and clinical anatomy of the shoulder,y,Anatomy
Integrate knowledge of shoulder function with possible findings on clinical examination Part,,Upper limb 2 - Functional compartments and anatomy of the upper limb,y,Anatomy
Describe the organisation of the deep fascia of the arm and its clinical relevance (e.g. compartment syndrome),,Upper limb 2 - Functional compartments and anatomy of the upper limb,y,Anatomy
Identify muscles that cross multiple joints and describe why this makes them susceptible to injury (e.g. long head of biceps brachii),,Upper limb 2 - Functional compartments and anatomy of the upper limb,y,Anatomy
Understand what makes up the motor system and explain the importance of sensory information for motor control,,Introduction to motor systems,y,Physiology
Describe the connectivity and role of the upper and lower motor neuron systems,,Introduction to motor systems,y,Physiology
"Explain the role and connectivity between different brain regions and pathways involved in initiating, refining and controlling movement",,Introduction to motor systems,y,Physiology
Describe motor units and the how force generation in muscle is controlled via motor units 7,,Introduction to motor systems,y,Physiology
"Describe the structure, components and organization of the muscle",,Skeletal muscle,y,Physiology
"Explain the molecular mechanisms of skeletal muscle contraction, cross bridge cycling, the sliding filament mechanism and excitation-contraction coupling",,Skeletal muscle,y,Physiology
Explain the mechanics of muscle contraction,,Skeletal muscle,y,Physiology
"Define the different types of muscle contractions - isotonic, isometric, concentric and eccentric 8",,Skeletal muscle,y,Physiology
"Understand stress, motivation, attention and performance",,,n,
Understand attentional challenges – Technology – Distractor influence – Multitasking,,,n,
Understand selective attention and inattentional blindness,,,n,
Understand mindful practice and training attention 9,,,n,
Understand System 1 and 2 thinking,,,n,
Understand utility theory,,,n,
Understand cognitive bias,,,n,
"Understand mindsets 2. Creativity 3. Bloom, Miller and Bigg",,,n,
Understand Bloom’s levels of thinking,,,n,
Understand Miller’s levels of performance,,,n,
Understand Bigg’s model of learning 4. Highly effective people,,,n,
Understand team learning,,,n,
Understand time management,,,n,
Understand Covey’s 7 Habits of Highly Effective People 10,,,n,
Link the shape of articular surfaces with the function of muscles acting on joints to explain the movements of the elbow joint,,Compartments of the arm,y,Anatomy
Integrate knowledge of elbow function with possible findings on clinical examination (e.g. supracondylar fracture),,Compartments of the arm,y,Anatomy
Identify relations of neurovascular structures around the distal arm and elbow and their clinical relevance Part,,Compartments of the arm,y,Anatomy
"Classify the intrinsic muscles of the hand according to their functions, innervation and clinical testing Part",,Compartments of the arm,y,Anatomy
"Describe the course and distribution blood vessels in the forearm and hand, and relate the course of these vessels to clinical applications",,Compartments of the arm,y,Anatomy
"Describe the course and distribution of the median, ulnar and radial nerves in the forearm, wrist and hand, and relate the course of nerves to potential to sites of injury 11",,Compartments of the arm,y,Anatomy
"Explain what makes up the sensory system, and how are they activated to create perception of the five senses",,Introduction to sensory systems,y,Physiology
Describe how sensory receptors transduce a physical stimulus into a biology response by changing the membrane potential,,Introduction to sensory systems,y,Physiology
Explain how sensory receptors code for stimulus properties (primary sensory coding),,Introduction to sensory systems,y,Physiology
Describe the functional need for integration of information within the nervous system,,Neural integration,y,Physiology
Explain the processes and pathways of integration,,Neural integration,y,Physiology
Describe the locations of integration within the nervous system,,Neural integration,y,Physiology
Apply how brain lesions and maladaptive circuitry and neural connections contribute to functional deficits 12,,Neural integration,y,Physiology
"Describe how drugs are absorbed, distributed, metabolized and excreted from the body",,Pharmacokinetics,y,Pharmacology
"Discuss how a knowledge of pharmacokinetics of a drug is important when considering the route of administration, the dosing schedule, and ways of achieving therapeutic levels whilst avoiding toxicity",,Pharmacokinetics,y,Pharmacology
"Explain the terms pharmacokinetics, therapeutic index, bioavailability, volume of distribution, half life, clearance, plasma protein binding, biotransformation, first order kinetics, zero order kinetics, induction of liver enzymes 13",,Pharmacokinetics,y,Pharmacology
"Understand issues and challenges related to doctor and medical student health, and aspects of medical culture that can contribute to poor mental health",,,n,
"Define burnout, work engagement and resilience",,,n,
"Apply effective strategies to enhance workplace wellbeing, resilience, mindfulness, behavioural activation and emotional intelligence",,,n,
Have strategies in place for being able to intervene with troubled peers,,,n,
Describe the different mechanisms by which bacteria invade the human body and interact with host cells,,Bacterial Pathogenesis 1,y,Microbiology
Appreciate how pathogens evade and overcome the host immune system,,Bacterial Pathogenesis 1,y,Microbiology
Relate how bacteria cause the host damage that leads to the clinical signs of disease 14,,Bacterial Pathogenesis 1,y,Microbiology
Describe the different mechanisms by which bacteria invade the human body and interact with host cells,,Bacterial Pathogenesis 2,y,Microbiology
Appreciate how pathogens evade and overcome the host immune system:,,Bacterial Pathogenesis 2,y,Microbiology
Avoid being killed by phagocytosis,,Bacterial Pathogenesis 2,y,Microbiology
Living inside phagocytic cells,,Bacterial Pathogenesis 2,y,Microbiology
Mechanism of invasion of non-phagocytic cells,,Bacterial Pathogenesis 2,y,Microbiology
Bacterial movement within and between cells,,Bacterial Pathogenesis 2,y,Microbiology
Relate how bacteria cause the host damage that leads to the clinical signs of disease,,Bacterial Pathogenesis 2,y,Microbiology
Describe the different mechanisms by which bacteria invade the human body and interact with host cells,,Bacterial Pathogenesis 3,y,Microbiology
Appreciate how pathogens evade and overcome the host immune system,,Bacterial Pathogenesis 3,y,Microbiology
Relate how bacteria cause the host damage that leads to the clinical signs of disease,,Bacterial Pathogenesis 3,y,Microbiology
Septic shock,,Bacterial Pathogenesis 3,y,Microbiology
Toxins that activate T cells,,Bacterial Pathogenesis 3,y,Microbiology
Toxins that activate the host cell surface,,Bacterial Pathogenesis 3,y,Microbiology
Toxins that modify intracellular targets 15,,Bacterial Pathogenesis 3,y,Microbiology
"Identify, describe and differentiate between descriptive and analytical study designs",,,n,
Evaluate the advantages and disadvantages of different study designs,,,n,
Describe the study design that best suits your study objectives and can test your hypothesis 16,,,n,
Describe the osteology and arthrology of the hip joint Part 2:,,Clinical anatomy of the hip joint and thigh,y,Anatomy
Describe the vascular supply of the gluteal region and compartments of the thigh Part 3:,,Clinical anatomy of the hip joint and thigh,y,Anatomy
"Describe the function and innervation of muscles in the gluteal region, and in the compartments of the thigh",,Clinical anatomy of the hip joint and thigh,y,Anatomy
Integrate knowledge of the hip joint and thigh with possible findings on clinical examination 17,,Clinical anatomy of the hip joint and thigh,y,Anatomy
Describe the osteology and the arthrology of the knee joint,,Clinical anatomy of the knee joint and leg,y,Anatomy
Integrate knowledge of the knee and leg anatomy with possible findings on clinical examination Part,,Clinical anatomy of the knee joint and leg,y,Anatomy
Integrate knowledge of the knee and leg anatomy with possible findings on clinical examination 18,,Clinical anatomy of the knee joint and leg,y,Anatomy
Describe the osteology and arthrology of the tibiofibular joints Part,,"Clinical anatomy of the leg, ankle and foot",y,Anatomy
Describe the function and innervation of muscles in the compartments of the leg,,"Clinical anatomy of the leg, ankle and foot",y,Anatomy
Describe the vascular supply of the leg,,"Clinical anatomy of the leg, ankle and foot",y,Anatomy
Integrate knowledge of leg anatomy with possible findings on clinical examination Part,,"Clinical anatomy of the leg, ankle and foot",y,Anatomy
Integrate knowledge of ankle and foot anatomy with possible findings on clinical examination 19,,"Clinical anatomy of the leg, ankle and foot",y,Anatomy
Describe the components and the overall role of the autonomic nervous system,,Introduction to the autonomic nervous system,y,Physiology
Compare and contrast between somatic and autonomic nervous systems,,Introduction to the autonomic nervous system,y,Physiology
Differentiate between the structures and functions of the sympathetic and parasympathetic divisions in the autonomic nervous system,,Introduction to the autonomic nervous system,y,Physiology
Describe the different levels of central control on the autonomic nervous system,,Autonomic nervous system- Central systems,y,Physiology
"Understand the role of the different central nuclei (such as hypothalamus, brain stem, amygdala etc.) involved in autonomic regulation",,Autonomic nervous system- Central systems,y,Physiology
List some examples of autonomic reflexes that are modulated by central control centres 20,,Autonomic nervous system- Central systems,y,Physiology
Identify types of somatic sensations,,Discriminative somatic sensation,y,Physiology
Identify and categorize the skin layers and its receptors,,Discriminative somatic sensation,y,Physiology
Compare and contrast the four main types of mechanoreceptors,,Discriminative somatic sensation,y,Physiology
Describe proprioception and proprioceptors Lectures 4 and 5,,Discriminative somatic sensation,y,Physiology
Describe the steps in the neurotransmission pathways in the ANS,,Pharmacology of the Autonomic Nervous System,y,Pharmacology
Identify sites where drugs can act to modulate this process & the mechanisms by which they do this,,Pharmacology of the Autonomic Nervous System,y,Pharmacology
Explain the advantages/disadvantages of these sites as therapeutic targets,,Pharmacology of the Autonomic Nervous System,y,Pharmacology
Predict and explain the effects of drugs that act at these sites 21,,Pharmacology of the Autonomic Nervous System,y,Pharmacology
Describe the concept of random sampling from a population,,,n,
Explain the concept of sampling variability,,,n,
Describe the principles of how statistical theory is used to quantify the uncertainty in the result of a single study,,,n,
Explain the difference between population parameters and sample statistics,,,n,
"Explain the following terms: standard error of the mean, confidence interval for a mean, confidence interval for the difference between two means",,,n,
Interpret confidence intervals in published research papers 22,,,n,
"Understand that nociceptive signals from the periphery are processed in the spinal dorsal horn, before transmission to the thalamus and cortical regions",,Acute and chronic pain,y,Physiology
Recognise that descending pathways from the higher brain centers can modulate nociceptive transmission in the dorsal horn,,Acute and chronic pain,y,Physiology
Understand the differences between acute and chronic pain and that that pain can be generated pathologically without nociceptor activation.,,Acute and chronic pain,y,Physiology
Have a basic understanding of the mechanisms that drive chronic neuropathic and inflammatory pain syndromes,,Acute and chronic pain,y,Physiology
